image,label
006388_0_1002.png,1
006388_0_1006.png,1
006388_0_1007.png,1
006388_0_1008.png,1
006388_0_1009.png,1
006388_0_1012.png,1
006388_0_1013.png,1
006388_0_1014.png,1
006388_0_1021.png,1
006388_0_1022.png,1
006388_0_1023.png,1
006388_0_1042.png,1
006388_0_1043.png,1
006388_0_1068.png,1
006388_0_1072.png,1
006388_0_1073.png,1
006388_0_1074.png,1
006388_0_1075.png,1
006388_0_1079.png,1
006388_0_1107.png,1
006388_0_1108.png,1
006388_0_1109.png,1
006388_0_1110.png,1
006388_0_1134.png,1
006388_0_1138.png,1
006388_0_1139.png,1
006388_0_114.png,1
006388_0_1140.png,1
006388_0_1141.png,1
006388_0_1146.png,1
006388_0_1147.png,1
006388_0_115.png,1
006388_0_1155.png,1
006388_0_1156.png,1
006388_0_1169.png,1
006388_0_1172.png,1
006388_0_1173.png,1
006388_0_1174.png,1
006388_0_118.png,1
006388_0_119.png,1
006388_0_120.png,1
006388_0_1205.png,1
006388_0_1234.png,1
006388_0_1235.png,1
006388_0_1236.png,1
006388_0_1238.png,1
006388_0_1239.png,1
006388_0_127.png,1
006388_0_1298.png,1
006388_0_1299.png,1
006388_0_13.png,1
006388_0_1300.png,1
006388_0_1301.png,1
006388_0_1302.png,1
006388_0_1304.png,1
006388_0_1305.png,1
006388_0_1352.png,1
006388_0_1363.png,1
006388_0_1364.png,1
006388_0_1365.png,1
006388_0_1366.png,1
006388_0_1367.png,1
006388_0_1368.png,1
006388_0_1370.png,1
006388_0_1418.png,1
006388_0_1419.png,1
006388_0_1428.png,1
006388_0_1429.png,1
006388_0_1430.png,1
006388_0_1431.png,1
006388_0_1432.png,1
006388_0_1433.png,1
006388_0_1436.png,1
006388_0_1485.png,1
006388_0_1486.png,1
006388_0_1493.png,1
006388_0_1494.png,1
006388_0_1495.png,1
006388_0_1496.png,1
006388_0_1497.png,1
006388_0_1498.png,1
006388_0_1500.png,1
006388_0_1551.png,1
006388_0_1552.png,1
006388_0_1558.png,1
006388_0_1559.png,1
006388_0_1560.png,1
006388_0_1561.png,1
006388_0_1562.png,1
006388_0_1563.png,1
006388_0_1564.png,1
006388_0_1565.png,1
006388_0_1566.png,1
006388_0_159.png,1
006388_0_160.png,1
006388_0_1617.png,1
006388_0_1618.png,1
006388_0_1619.png,1
006388_0_1624.png,1
006388_0_1625.png,1
006388_0_1626.png,1
006388_0_1627.png,1
006388_0_1628.png,1
006388_0_1629.png,1
006388_0_1630.png,1
006388_0_1631.png,1
006388_0_1632.png,1
006388_0_167.png,1
006388_0_168.png,1
006388_0_1681.png,1
006388_0_1683.png,1
006388_0_1684.png,1
006388_0_1685.png,1
006388_0_1686.png,1
006388_0_1689.png,1
006388_0_1690.png,1
006388_0_1691.png,1
006388_0_1692.png,1
006388_0_1693.png,1
006388_0_1694.png,1
006388_0_1695.png,1
006388_0_172.png,1
